19806
347	1 11	1 8	1 35	1 38	0.0006150965	0.003827032332182116
348	1 11	1 7	1 15	1 19	0.08191095000000001	0.005435479779752464
349	1 11	1 7	1 19	1 23	0.021312499999999998	0.002999316525056887
350	1 11	1 7	1 23	1 27	0.00514297	0.002812451854474662
351	1 11	1 7	1 27	1 31	0.00266506	0.0031129226303113367
352	1 11	1 7	1 31	1 35	0.001791485	0.0039819167400234655
353	1 11	1 7	1 35	1 39	0.000967266	0.0036932865065468215
354	1 11	1 7	1 39	1 43	0.0006173635000000001	0.003979308536330973
355	1 11	1 7	1 43	1 47	0.00040026250000000003	0.004920682864389024
356	1 11	1 6	1 16	1 21	0.073102	0.00547482479412139
357	1 11	1 6	1 21	1 26	0.0126017	0.002795796107250769
358	1 11	1 6	1 26	1 31	0.004330634999999999	0.002673896219509417
359	1 11	1 6	1 31	1 36	0.002394215	0.0038205167327735896
360	1 11	1 6	1 36	1 41	0.0011936450000000001	0.003898217257093167
361	1 11	1 6	1 41	1 46	0.0007125090000000001	0.00439261066666153
362	1 11	1 6	1 46	1 51	0.000415467	0.005154486940118447
363	1 11	1 6	1 51	1 56	0.000265177	0.0055031293410836265
364	1 11	1 5	1 17	1 23	0.058948200000000006	0.004417203582474092
365	1 11	1 5	1 23	1 29	0.00890109	0.0027981999595622607
366	1 11	1 5	1 29	1 35	0.0034862549999999997	0.003665223588601513
367	1 11	1 5	1 35	1 41	0.00179277	0.003780635771590771
368	1 11	1 5	1 41	1 47	0.000934846	0.0045051302610570965
369	1 11	1 4	1 18	1 25	0.0461327	0.003752028713634482
370	1 11	1 4	1 25	1 32	0.007324015	0.003228648663323604
371	1 11	1 4	1 32	1 39	0.00318256	0.003906547969211978
372	1 11	1 4	1 39	1 46	0.001473335	0.00442113048459773
373	1 11	1 4	1 60	1 67	0.000239258	0.006705389776160824
374	1 11	1 4	1 67	1 74	0.0001520575	0.007844636674190676
375	1 11	1 3	1 19	1 27	0.03700475	0.003381958058796859
376	1 11	1 3	1 27	1 35	0.00706361	0.0033470255008698976
377	1 11	1 3	1 35	1 43	0.002679675	0.0037663870305664413
378	1 11	1 3	1 43	1 51	0.0011917350000000002	0.005042832242248895
379	1 11	1 3	1 51	1 59	0.000603643	0.00573117424935391
380	1 11	1 3	1 59	1 67	0.0003389355	0.00671385811644348
381	1 11	1 3	1 75	1 83	0.000142633	0.009916626140100929
382	1 12	1 11	1 13	1 14	0.44043849999999996	0.06339778137588913
383	1 12	1 11	1 14	1 15	0.09542485	0.012864962380394238
384	1 12	1 11	1 15	1 16	0.0260197	0.0036627761442556014
385	1 12	1 11	1 16	1 17	0.018938049999999998	0.003315892353903128
386	1 12	1 11	1 17	1 18	0.011265750000000001	0.0016211699454323047
387	1 12	1 11	1 18	1 19	0.00672816	0.0013594929328355236
388	1 12	1 11	1 19	1 20	0.0044591349999999995	0.0008878435418503609
389	1 12	1 11	1 20	1 21	0.003121995	0.001386589657335566
390	1 12	1 10	1 14	1 16	0.170101	0.010618902548820957
391	1 12	1 10	1 16	1 18	0.046944150000000004	0.0037804498010298015
392	1 12	1 10	1 18	1 20	0.01820485	0.0011816396862216075
393	1 12	1 10	1 20	1 22	0.00916707	0.0007544604612482213
394	1 12	1 10	1 22	1 24	0.005100075	0.0005229880578032239
395	1 12	1 10	1 28	1 30	0.0010960850000000001	0.0016260225108448768
396	1 12	1 9	1 15	1 18	0.1057805	0.005207942987114173
397	1 12	1 9	1 18	1 21	0.0306624	0.002162724668089358
398	1 12	1 9	1 21	1 24	0.011597550000000002	0.001993016613749963
399	1 12	1 9	1 27	1 30	0.0023109000000000003	0.002501991692846029
400	1 12	1 9	1 30	1 33	0.001163685	0.003767102100980044
401	1 12	1 9	1 33	1 36	0.0009882695000000001	0.003394687607935813
402	1 12	1 9	1 36	1 39	0.0005938	0.0034123755237459273
